fmi,estado,enlace
060-67333,no_publicado,
060-64701,encontrado,https://www.activosporcolombia.com/es/inmueble/11483/apartamento-en-gestion-cartagena-de-indias-bolivar
060-81688,encontrado,https://www.activosporcolombia.com/es/inmueble/16860/apartamento-en-venta-cartagena-de-indias-bolivar
060-99031,encontrado,https://www.activosporcolombia.com/es/inmueble/33310/garaje-en-gestion-cartagena-de-indias-bolivar
064-28867,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/473/apartamento-en-gestion-magangue-bolivar
060-91280,encontrado,https://www.activosporcolombia.com/es/inmueble/11593/casa-lote-en-gestion-cartagena-de-indias-bolivar
064-24669,encontrado,https://www.activosporcolombia.com/es/inmueble/9288/casa-en-venta-magangue
072-32084,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/580/lote-en-gestion-maripi-boyaca
064-28868,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/473/apartamento-en-gestion-magangue-bolivar
064-3552,encontrado,https://www.activosporcolombia.com/es/inmueble/17363/casa-en-venta-magangue
072-26107,encontrado,https://www.activosporcolombia.com/es/inmueble/20328/lote-en-gestion-maripi-boyaca
072-45015,encontrado,https://www.activosporcolombia.com/es/inmueble/20489/lote-con-construccion-en-gestion-maripi-boyaca
072-45171,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/580/lote-en-gestion-maripi-boyaca
072-5897,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/580/lote-en-gestion-maripi-boyaca
079-2576,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/682/santa-cecilia
079-21365,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/682/santa-cecilia
079-26788,encontrado,https://www.activosporcolombia.com/es/inmueble/16009/las-mercedes
079-1155,encontrado,https://www.activosporcolombia.com/es/inmueble/15982/el-recreo
079-29163,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/682/santa-cecilia
080-3506,no_publicado,
080-104479,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/586/apartamento-en-gestion-santa-marta-magdalena
079-29450,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/682/santa-cecilia
080-26084,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/657/apartamento-en-gestion-santa-marta-magdalena
080-1624,encontrado,https://www.activosporcolombia.com/es/inmueble/5402/edificacion-para-hotel-motel-en-venta-santa-marta-magdalena
080-23378,encontrado,https://www.activosporcolombia.com/es/inmueble/13221/lote-en-gestion-santa-marta-magdalena
080-26085,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/657/apartamento-en-gestion-santa-marta-magdalena
080-122059,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/500/casa-en-gestion-santa-marta-magdalena
080-59523,no_publicado,
080-41849,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/585/casa-en-gestion-santa-marta-magdalena
080-58289,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/634/apartamento-en-gestion-santa-marta-magdalena
080-9982,no_publicado,
080-41850,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/585/casa-en-gestion-santa-marta-magdalena
080-68092,encontrado,https://www.activosporcolombia.com/es/inmueble/88/local-comercial-en-arriendo-santa-marta-magdalena
080-68935,encontrado,https://www.activosporcolombia.com/es/inmueble/26579/local-comercial-en-gestion-santa-marta-magdalena
